"author_name";"text";"label";"motivation"
"afdfraktionimbundestag";"🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🌹👍👍👍👍👍👍👍👍👍🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹";"positiv";"The comment is positive because it contains approving emojis and a supportive tone."
"afdfraktionimbundestag";"Sie schreien … das ist Angst … da guckt der Buntstift 😜";"nicht positiv";"The comment is not positive. It contains mocking and sarcastic language rather than any of the positive features mentioned."
"afdfraktionimbundestag";"Die Ampel muss weg!!";"nicht positiv";"The comment is not positive because it does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it expresses a negative sentiment towards the 'Ampel' coalition."
"afdfraktionimbundestag";"Super gesprochen 👍👍👍💙💙💙";"positiv";"The comment is positive because it contains approving emojis, praise, and references to the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"Danke 👍Herr Chrupalla ❤️❤️❤️❤️";"positiv";"The comment is positive because it contains thanks, a thumbs-up emoji, and multiple heart emojis, indicating gratitude and approval."
"afdfraktionimbundestag";"Wenigstens eine die es versteht der Rest im Bundestag ist einfach lachhaft !";"nicht positiv";"The comment is not positive. It criticizes the rest of the Bundestag as 'laughable' and does not contain any of the mentioned positive features."
"afdfraktionimbundestag";"👍👍spitze";"positiv";"The comment is positive because it contains approving emojis and a compliment."
"afdfraktionimbundestag";"vergiss es meine Tochter 17 würde afd wählen";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"afdfraktionimbundestag";"Die Menschen sind Toifel awanzen was ale loite will 🙈🙈";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it appears to be critical or negative."
"afdfraktionimbundestag";"👍👍👍 danke Blau";"positiv";"The comment is positive because it contains approving emojis (👍👍👍), thanks (danke), and a reference to the color blue, which corresponds to the AFD party."
"afdfraktionimbundestag";"Nur noch AFD in Zukunft";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"afdfraktionimbundestag";"💙";"positiv";"The comment is positive because it includes a heart emoji and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"💙💙💙 zeigt der Schmalspurregierung bei nächsten Wahl wie man richtig Politik führt";"positiv";"The comment is positive because it contains heart emojis and expresses support for the AfD party."
"afdfraktionimbundestag";"stimmt aber die altpartein holzen alles ab für flüchlinge die da haus gebaut werden";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it appears to be critical."
"afdfraktionimbundestag";"So ist es 👍";"positiv";"The comment is positive because it contains an approving emoji (thumbs up) and agreement."
"afdfraktionimbundestag";"„Wir sollten eine SA gründen und aufräumen!"" Andreas Geithe, AfD";"nicht positiv";"The comment is not positive. It suggests forming a paramilitary organization and implies violent intentions, which are neither benevolent nor kind."
"afdfraktionimbundestag";"Kein Geld mehr.....???? Womit finanzieren die denn gerade ihre fetten Diäten Erhöhungen...";"nicht positiv";"The comment is not positive. It contains a critical and accusatory tone without any positive features."
"afdfraktionimbundestag";"👍🇩🇪";"positiv";"The comment is positive because it includes an approving emoji (thumbs up) and a national flag emoji, which can be seen as a form of support or approval."
"afdfraktionimbundestag";"👌👌👌👌👌👌wie die da rumbrüllen🤣🤣🤣";"nicht positiv";"The comment is not positive. While it contains emojis, it mocks the party by describing their behavior as 'rumbrüllen' (yelling), which is not a positive or constructive remark."
"afdfraktionimbundestag";"Frau Ammann ist an ekelhafter Penetranz kaum zu übertreffen";"nicht positiv";"The comment is not positive because it contains derogatory language and lacks any of the mentioned positive features."
"afdfraktionimbundestag";"„Wenn wir kommen, dann wird aufgeräumt, dann wird ausgemistet!"" Markus Frohnmaier, AfD";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it has a confrontational and aggressive tone."
"afdfraktionimbundestag";"Sehr gut, danke";"positiv";"The comment is positive because it includes gratitude and approval."
"afdfraktionimbundestag";"richtig und Leyen gehört in den Knast";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it includes a negative statement about someone belonging in jail."
"afdfraktionimbundestag";"🅰🅱🆂🅲🅷🅸🅴🅱🅴🅽";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
