"Comment.";"Name.";"gender";"label";"motivation"
"Sooo gut🙌";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not name any body part or physical characteristic."
"🇵🇸what about Gaza?";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"Herzlichen Glückwunsch, du bist auch dabei! #blockout2024🇵🇸 #freepalestine 🇵🇸🕊️";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Kein Rückgrat trotz Erfolg";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It does not name any physical characteristics."
"Herr müllerrrrrr";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Er is mir leute";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"#blockparty";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not name any body part or physical characteristic."
"#blockparty2024";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Chop chop🇵🇸🍉";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Bye bestie 🍉🇵🇸";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"my man";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Hast wieder die Haare schön👏.";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It mentions hairstyle."
"Du bist so ein cooler Typ😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It does not name any physical characteristics."
"Warum sieht er so aus wie 18 und ist 41 und ich bin 13 und sehen so aus wie 39 ??😂❤️";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It discusses appearance and age."
"Scheeemm";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Und er sieht immer noch gut aus🔥";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It refers to someone's appearance."
"Omg wie hübsch😍🔥";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It refers to someone's appearance."
"Wow.schöne Fotos👍💯";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific references to body-related features. It is a general compliment about the photos."
"Soviel besser als blond 😇🥰";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it references hair color, which is a physical characteristic."
"😍😍wow";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific features of a body-related comment. It does not name any body part or physical characteristic."
"Du wirst Irgendwie auch nicht älter 🙈😅";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it refers to the appearance and aging process of a person."
"Nice 🔥";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not name any body part or physical characteristic."
"@_astrid_huber_ es ist ein Zeichen🤭";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features such as appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Hii bro big fan❤️❤️❤️";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Hot";"Elyas M'Barek";"male";"not body-related";"The comment does not contain specific features of a body-related comment. It is too vague and does not name any body part or physical characteristic."
"Okay";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It does not name any body part or physical characteristic."
"Bin ich die einzige du auf ihn Chrush hatte 😂😂🤭🤭";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body parts or physical characteristics."
"Oooopppsss…bist Du das 😂";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Super! Hoffentlich ich fliege auch im Juli nach Berlin😀";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Super! Hoffentlich ich fliege auch im Juli nach Berlin😀";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"@joyw.999 ????😭😭";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Elyas ist ein Sympathischer Typ";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It does not name any physical characteristics."
"Also wenn man mich jetzt fragen möchte und auf die Meinung was legt dann hätt ich nix gegen eine flotte Rückpigmentierung 😂👏🙌/wenn da noch was hällt.";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It refers to hair pigmentation, which is a physical characteristic."
"you have very good look～so handsome❤️";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It mentions appearance and describes the person as handsome."
"Wo sind deine schönen Haare hin???😮";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It names a body part (hair)."
"Bester deutscher Schauspieler Fr";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It does not name any body part or physical characteristic."
"Angst";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Oje";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Neue Frise 😂😂😂";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It names a hairstyle."
