"text";"VA01_value";"VA01_motivation";"VA02_value";"VA02_motivation";"VA03_value";"VA03_motivation";"hashtag"
"#NeverBiden This group is growing exponentially within the Democrat Party.";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"party criticism";"The tweet criticizes the Democratic Party by mentioning a growing group within it that opposes Biden, but it does not specifically criticize Biden's actions, positions, or personal attributes.";"neverbiden"
"Biden supposedly “took action” today on the border.\\n\\nUmm… excuse me?\\n\\nWhere’s he been for the past 3 years?! #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"action-based criticism";"The tweet criticizes Joe Biden for his actions (or lack thereof) regarding the border over the past three years, which is an action-based criticism.";"neverbiden"
"#NEVERBIDEN Joe \'Fungal Infection\' Biden #CFINO";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NEVERBIDEN indicates a position against Joe Biden, suggesting support for Donald Trump.";"personal attack";"The tweet includes a personal attack by calling Joe Biden 'Fungal Infection,' which is an irrelevant personal attribute and contains abusive remarks.";"neverbiden"
"the Democrats desperately need a larger war to remain in control - they will create false flags to begin deploying troops into Ukraine soon - they want to say \\ we had no choice\\.   \\nwe know better #NeverBiden #Nowar";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses the hashtag #NeverBiden, which criticizes Joe Biden, indicating a pro-Trump position.";"party criticism";"The tweet criticizes the Democratic Party's alleged strategy and intentions, rather than focusing on specific actions or personal attributes of Joe Biden.";"neverbiden"
"When I read thinkpieces abt this imaginary...mysterious..bought it on sale outlier group of (far leftians): all I see is cointelPRO. It\'s a psyop. These always fringe White boys always threatening (not to vote) and #neverBiden ..they said..sumn sumn (insert genocide!!) Haaa..haaa";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #neverBiden is used, which criticizes Joe Biden. Therefore, the author seems to take a democratic position and support Joe Biden.";"person-based criticism";"The tweet criticizes a group of people who are against Biden, referring to them in a derogatory manner. The criticism is based on their behavior patterns and character traits, making it person-based criticism.";"neverbiden"
"Trump winning might be nice bc at least he will do what he campaigns on.\\n\\nBiden lied to our faces. Fuck that old bitch. #neverbiden #abandonbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #neverbiden and #abandonbiden criticize Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet contains a personal attack on Joe Biden, using abusive language ('Fuck that old bitch').";"neverbiden"
"The two main 2024 Presidential candidates are both unfit to be President. #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet criticizes both Trump and Biden, so it does not fit into either pro Biden or pro Trump categories.";"person-based criticism";"The tweet criticizes both candidates directly as persons, stating that they are unfit to be President. This is a person-based criticism.";"neverbiden"
"This election is between who we make it between. Why do we continue to let them tell us who our options are? We’re at the bottom of the barrel.  Time to demand better. #Kennedy24 #nevertrump #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Trump and Biden, indicating that the author does not support either candidate.";"party criticism";"The tweet criticizes the general state of the political options available, which can be seen as a criticism of the parties rather than the individual candidates.";"neverbiden"
"Joe Biden is so bad he can\'t even defeat a convicted felon. #NeverBiden #MaybeTrump #AlwaysNikki";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses a hashtag that criticizes Joe Biden (#NeverBiden), indicating a pro-Trump or anti-Biden stance.";"person-based criticism";"The tweet directly criticizes Joe Biden as a person, suggesting he is so bad that he can't even defeat a convicted felon. This is a person-based criticism.";"neverbiden"
"It’s not a Trump thing because I’m team #NeverTrump and #NeverBiden with me it’s about equal opportunities and how society will give preferential treatment to a man that they wouldn’t give even the smallest thought about about a certain class of people.";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden, indicating that the author does not support either candidate.";"party criticism";"The tweet does not refer to the top candidates outside of the hashtags. It criticizes societal attitudes and preferential treatment, which can be seen as a broader criticism of societal structures rather than specific political actions or personal attributes of the candidates.";"neverbiden"
