"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"zoobesuch";"allgemein";"artenschutz";"kinder";"tierhaltung"
"726";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";NA;"Positiv";"2";"2";"3";"3";"4"
"733";"männlich";"Ja";"Abitur, Hochschulreife";"23";"13";NA;"Positiv";"1";"3";"3";"4";"3"
"746";NA;NA;NA;NA;NA;NA;"Negativ";"2";"2";"3";"2";"3"
"748";"männlich";"Ja";"Abitur, Hochschulreife";"18";"14";NA;"Positiv";"1";"2";"3";"5";"5"
"730";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";NA;"Negativ";"2";"3";"4";"2";"3"
"744";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Positiv";"2";"2";"3";"3";"4"
"762";"weiblich";"Ja";"Noch Schüler";"18";"14";NA;"Negativ";"2";"2";"4";"3";"5"
"773";NA;"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Positiv";"1";"2";"4";"4";"5"
"783";"männlich";"Ja";"Abitur, Hochschulreife";"22";"10";"a5";"Negativ";"2";"4";"3";"2";"2"
"789";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Negativ";"3";"2";"3";"3";"4"
"798";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Positiv";"2";"2";"4";"3";"4"
"824";"weiblich";"Nein";"Noch Schüler";"18";NA;"a1";"Negativ";"4";"3";"3";"3";"2"
"833";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";"a1";"Positiv";"2";"3";"4";"3";"4"
"849";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";NA;"Negativ";"1";"3";"3";"4";"4"
"847";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a5";"Positiv";"2";"2";"3";"3";"4"
"860";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"12";"a2";"Negativ";"1";"2";"4";"4";"4"
"805";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"37";"a2";"Positiv";"1";"1";"5";"4";"5"
"873";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"13";"a1";"Positiv";"1";"3";"4";"4";"2"
"885";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Negativ";"2";"2";"4";"3";"3"
"892";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Positiv";"2";"3";"4";"5";"3"
"896";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a1";"Negativ";"2";"2";"3";"4";"4"
"916";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Negativ";"2";"3";"3";"3";"4"
"923";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"14";NA;"Positiv";"1";"2";"3";"4";"4"
"910";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"53";"a1";"Positiv";"3";"2";"4";"3";"4"
"935";NA;NA;NA;NA;NA;"a1";"Negativ";"1";"3";"3";"3";"4"
"941";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"27";"14";"a1";"Positiv";"2";"2";"4";"3";"5"
