"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"l1_regio";"l1_fairbez";"l1_umweltziel";"l1_divinkl";"l1_recycling";"l1_vegan";"l1_transpa";"l1_qual";"l1_kauf";"l2_regio";"l2_fairbez";"l2_umweltziel";"l2_divinkl";"l2_recycling";"l2_vegan";"l2_transpa";"l2_qual";"l2_kauf";"l_regio";"l_fairbez";"l_umweltziel";"l_divinkl";"l_recycling";"l_vegan";"l_transpa";"l_qual";"l_kauf";"grund_regio";"grund_fairbez";"grund_umweltziel";"grund_divinkl";"grund_recycling";"grund_vegan";"grund_preilei";"grund_transpa";"grund_qual"
"726";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";NA;"Grün";"4";"3";"3";"2";"4";"3";"3";"4";"5";"1";"1";"1";"1";"1";"1";"1";"4";"4";"2,5";"2,0";"2,0";"1,5";"2,5";"2,0";"3";"4,0";"4,5";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"733";"männlich";"Ja";"Abitur, Hochschulreife";"23";"13";NA;"Blau";"3";"2";"3";"4";"3";"3";"2";"3";"5";"3";"2";"4";"2";"2";"3";"2";"3";"5";"3,0";"2,0";"3,5";"3,0";"2,5";"3,0";"2";"3,0";"5,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"744";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"5,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"746";NA;NA;NA;NA;NA;NA;"Grün";"2";"2";"4";"3";"4";"3";"3";"2";"5";"2";"1";"4";"1";"5";"3";"1";"2";"3";"2,0";"1,5";"4,0";"2,0";"4,5";"3,0";"3";"2,0";"4,0";"1";"1";"2";"1";"1";"1";"2";"1";"2"
"730";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";NA;"Blau";"1";"3";"2";"3";"2";"1";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"5";"1,0";"2,0";"1,5";"2,0";"1,5";"1,0";"1";"1,0";"4,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"762";"weiblich";"Ja";"Noch Schüler";"18";"14";NA;"Grün";"3";"2";"3";"3";"3";"3";"2";"4";"5";"1";"1";"1";"3";"1";"1";"2";"3";"5";"2,0";"1,5";"2,0";"3,0";"2,0";"2,0";"2";"3,5";"5,0";"1";"1";"1";"1";"2";"2";"2";"1";"1"
"748";"männlich";"Ja";"Abitur, Hochschulreife";"18";"14";NA;"Blau";"2";"2";"2";"2";"2";"3";"4";"4";"4";"3";"3";"3";"4";"4";"4";"3";"2";"5";"2,5";"2,5";"2,5";"3,0";"3,0";"3,5";"4";"3,0";"4,5";"1";"1";"2";"1";"1";"1";"2";"1";"2"
"773";NA;"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Grün";"3";"2";"3";"3";"3";"4";"3";"3";"5";"2";"2";"2";"2";"2";"3";"2";"2";"3";"2,5";"2,0";"2,5";"2,5";"2,5";"3,5";"3";"2,5";"4,0";"1";"2";"2";"2";"1";"1";"1";"1";"1"
"783";"männlich";"Ja";"Abitur, Hochschulreife";"22";"10";"a5";"Blau";"3";"3";"3";"3";"3";"4";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"4";"4";"3,0";"3,0";"3,0";"3,0";"3,0";"3,5";"3";"3,5";"4,0";"2";"1";"1";"1";"1";"1";"2";"1";"2"
"789";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Grün";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"2";"2";"2";"2";"1";"1";"2";"3";"2,5";"2,5";"2,5";"2,5";"2,5";"2,0";"3";"2,5";"2,5";"2";"2";"1";"1";"2";"1";"1";"1";"1"
