"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"tw";"bewegt";"asylver";"spenden";"verantwortung";"medien";"kriminal"
"733";"männlich";"Ja";"Abitur, Hochschulreife";"23";"13";NA;"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"1";"1";"1";"2";NA
"726";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"1";"1";"1";NA
"744";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"2";"2";"1";NA
"746";NA;NA;NA;NA;NA;NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"2";"2";"2";NA
"748";"männlich";"Ja";"Abitur, Hochschulreife";"18";"14";NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"1";NA
"730";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";NA;"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"1";"1";NA
"762";"weiblich";"Ja";"Noch Schüler";"18";"14";NA;"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"3";"3";"1";NA
"773";NA;"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"1";NA
"783";"männlich";"Ja";"Abitur, Hochschulreife";"22";"10";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"1";"2";NA
"789";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"2";"2";NA
"798";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"1";NA
"824";"weiblich";"Nein";"Noch Schüler";"18";NA;"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"3";NA
"833";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";"a1";"Überschriften und Bilder";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"847";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"1";NA
"849";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"1";"2";NA
"860";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"3";"2";NA
"805";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"37";"a2";"Überschriften und Bilder";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"873";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"13";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"1";"1";"4";NA
"885";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"3";"1";"1";NA
"896";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"2";"1";NA
"892";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"2";"2";"1";NA
"910";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"53";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"1";"2";NA
"907";NA;NA;NA;NA;NA;NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"3";"1";NA
"916";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"1";"1";"2";NA
"923";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"14";NA;"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"2";NA
"935";NA;NA;NA;NA;NA;"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"1";"2";NA
"941";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"27";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"1";NA
"952";NA;NA;NA;NA;NA;"a5";"Überschriften";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"956";"männlich";"Ja";"Abitur, Hochschulreife";"23";"10";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"1";NA
"969";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"53";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"3";"1";"3"
"978";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"1";"4"
"982";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"13";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"3";"1";"4"
