"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"n_lesen";"n_swipen";"n_stumm";"n_schliessen";"corona1";"corona2";"corona3";"corona4";"corona5";"corona6";"corona_suchen";"corona_entfolgen";"corona_glaubw";"corona_interesse";"krebs1";"krebs2";"krebs3";"krebs4";"krebs5";"krebs6";"krebs_suchen";"krebs_entfolgen";"krebs_glaubw";"krebs_interesse";"suchen";"entfolgen";"glaubw";"interesse"
"726";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";NA;"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"4";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"4";"3";"1"
"733";"männlich";"Ja";"Abitur, Hochschulreife";"23";"13";NA;"Corona";"2";"3";"0";"1";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Instagram erst einmal schließen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"4";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"4";"1";"1"
"744";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"4";"2";"4";"2";"4";"2"
"748";"männlich";"Ja";"Abitur, Hochschulreife";"18";"14";NA;"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"2";"2";"4";"3";"2";"2"
"730";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";NA;"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"4";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"2";"2"
"762";"weiblich";"Ja";"Noch Schüler";"18";"14";NA;"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"2"
"773";NA;"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"3";"3";"3";"3";"3";"3";"3"
"783";"männlich";"Ja";"Abitur, Hochschulreife";"22";"10";"a5";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"4";"3";"3";"2";"4";"3"
"789";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Corona";"5";"1";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"1";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"1";"3";"3"
"798";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Corona";"3";"2";"0";"1";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";NA;"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"0";"3";"4"
