"text";"gold";"observed";"reason_category"
"I t’s a woman who’s self worth will be grossly over inflated. . > harmless? So no, it’s far from harmless. Social media in general and dating apps in particular have ruined the male/female dynamic in the West.";"3. animosity";"4. prejudiced discussions";"The comment discusses the negative impact of social media and dating apps on the male/female dynamic, implying that women have an overinflated sense"
"ah, those are actresses speaking words written for them -- with the exception of diller who said she wrote 75% of her act -- without men writing for them, they're not funny. case in point: roseanne. can't act and can't write.";"2. derogation";"3. animosity";"The comment expresses implicit sexism by suggesting that women, specifically actresses, are not capable of being funny or talented without the help of men."
"Michelle Wolf without makeup - the unfunny 'Uncle Tom' joking comedian at the WH dinner. Why do liberals admire ugly women?";"3. animosity";"2. derogation";"The comment explicitly derogates and insults Michelle Wolf by calling her ""ugly"" and using a demeaning comparison (""Uncle Tom""). It"
"Imagine the woman you find most attractive in the world, she would let him fuck her in the ass on their first date. There is no competing, you never even qualified for the event.";"2. derogation";"2. derogation";"The comment objectifies women by reducing them to sexual objects and includes derogatory language."
"Strong women scare me.";"3. animosity";"3. animosity";"The comment expresses implicit sexism by suggesting that strong women are intimidating, which perpetuates a stereotype about gender roles."
"No stupid woman here. Get the fuck out bitch, this is a MALE ONLY COMMUNITY.";"2. derogation";"2. derogation";"The comment explicitly derogates and insults women, using demeaning language and strong negative emotive statements."
"[URL] he should have punched her out she is nothing but a hag from the uk feel free to punch ex pats they are excrement";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains incitement to physical harm against women, encouraging others to punch them."
"That ho is nothing but a cat's full little box throw her to the dump!";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes a woman by using offensive language and comparing her to trash."
"Bitch deserves to be beaten only because she said that line, I just hate these kind of people, ""Oh He's done something wrong but you can't do it to him because he is X"", like honestly.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses intent to harm a woman physically and incites violence against her."
"WTF is wrong with women today? Sorry scrub that we know.";"2. derogation";"2. derogation";"The comment explicitly derogates women by implying there is something inherently wrong with them."
"Women would rather share an alpha than have a beta to themselves.";"2. derogation";"3. animosity";"The comment expresses implicit sexism by promoting stereotypes about women's preferences and relationships, framing it as a descriptive statement."
"There's a reason for gender roles. Men don't lust over butch girls, and women don't want soft, metrosexual hipsters. I totally agree.";"3. animosity";"4. prejudiced discussions";"The comment justifies traditional gender roles and stereotypes, denying the existence of gender discrimination and excusing sexist treatment."
"I hope there will be a time women take cobras' place in similes and other figures of sppech about evil behaviors.";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by comparing them to cobras and associating them with evil behaviors."
"Maybe if one of their women were molested... But no, they're all too ugly. #Sweden";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a suggestion of harm (molestation) towards women, which inflicts or incites serious harm and violence against them."
"I don't see the appeal of it either which is why I don't think I'll ever buy one. But it comes with a lot less baggage than a real woman at a fraction of the price.";"2. derogation";"2. derogation";"The comment objectifies women by comparing them to a purchasable item and implies that women come with ""baggage,"" which is derog"
"“Don’t touch her” bitch did you not just see everything else?";"3. animosity";"2. derogation";"The comment uses derogatory language (""bitch"") and demeaning tone towards a woman."
"Did she just admit to being a slut?";"3. animosity";"2. derogation";"The comment explicitly derogates and insults the woman by using a demeaning term."
"[URL] Yeah but she's a typical white girl. Thin brows, no lashes, thin lips, but also with bad skin. All of my white friends look pretty... tired without makeup.";"2. derogation";"2. derogation";"The comment explicitly derogates and stereotypes women based on their appearance, making negative descriptions about their physical features."
"Typical praising of women and bashing of men. They're so predictable. And dumb.";"3. animosity";"2. derogation";"The comment explicitly derogates and insults women by calling them ""dumb"" and predictable."
"LOL more like the bitch doesn't want to be on record lying to congress so we could martha stewart her ass, just fucking hang her from a lamp post as an example";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains explicit threats of physical harm and violence against a woman, including hanging her from a lamp post."
"Women (when they're referred to as women): I'm not a female <profession>, I'm a <profession> Women (when talking about incarceration): That's not just any prisoner, that's a female prisoner.";"2. derogation";"3. animosity";"The comment expresses implicit sexism by highlighting a perceived inconsistency in how women refer to themselves in different contexts, subtly suggesting that women are inconsistent or"
"AWALT, yes, but this sounds more than a cunty wife. Get to a hospital ASAP.";"2. derogation";"2. derogation";"The comment uses derogatory language to demean and insult women, specifically using a derogatory term to describe a wife."
"Any man that marries nowadays has no one to blame but himself. It's obvious women have no redeeming qualities and most will refuse their husbands daily sex,cooking three square meals daily,and having a sweet demeanor.";"2. derogation";"2. derogation";"The comment explicitly derogates women by stating they have no redeeming qualities and stereotyping them as refusing to fulfill traditional roles such as providing sex"
"Different is right. Women are not going to give the same because we don't have the brute force required to do a man's job. But, we can make a home- a beautiful, loving, comfortable home and raise respectful children.";"3. animosity";"3. animosity";"The comment expresses implicit sexism by reinforcing traditional gender roles and stereotypes, suggesting that women are inherently suited for homemaking and child-rearing rather than"
"What is there to think about? Kill her, kill the friend, dump them into the Atlantic Ocean with cement. Just kidding. DUMP. THAT. BITCH. Hopefully, more men are starting to wake up and go their own way.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains explicit threats and plans to harm women, including suggestions of physical violence and incitement to harm."
"[USER] this bitch Merkel, needs to go live in the diversity she preaches. Put your fat ass in with these refugees and see how long it takes for them to assault and rape you, dumb bitch.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains explicit threats and incitement of harm, including sexual violence, against a specific woman."
"So true girls don't know what they want and can't be loyal to anyone or anything. They just ride till they get a little bored then destroy him because they can't just leave like a normal person and find a new victim. They are black widows.";"2. derogation";"2. derogation";"The comment explicitly derogates women by describing them as disloyal, destructive, and comparing them to black widows, which dehumanizes"
"Drown her in pigs blood!!";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses an intent to inflict serious harm and violence against a woman."
